Check,Status,Evidence_File,Key_Value,Required_Condition
Rule_Semantic_Redundancy_Audit.csv generated,PASS,Rule_Semantic_Redundancy_Audit.csv,15,file exists with semantic redundancy audit schema
Triplet_Semantic_Redundancy_Audit.csv generated,PASS,Triplet_Semantic_Redundancy_Audit.csv,23,file exists with semantic redundancy audit schema
Triplet rules remain an extension layer.,PASS,10_Triplet_Extension_Manifest.json,20,"triplets do not modify primary rules, manifest, or selected features"
Triplet extension is manuscript-ready or explicitly excluded from manuscript supplementary.,PASS,10_Triplet_Extension_Manifest.json,,triplet manuscript-ready OR excluded flags true
Feature size sensitivity does not modify selected_n.,PASS,11_Feature_Size_Sensitivity_Manifest.json,25,primary_selected_n == 25 and modifies_primary_selected_features == false
Sentinel_Usage_Audit.csv exists.,PASS,Sentinel_Usage_Audit.csv,,usage audit generated after 04/05/07
Sentinel_Usage_Audit.csv generated after 04/05/07.,PASS,Sentinel_Usage_Audit.csv;06F_Rule_Evidence_Tiers.csv,,usage audit timestamp is after evidence tiers
Engineering_Outlier_Audit.csv exists.,PASS,Engineering_Outlier_Audit.csv,,engineering outlier audit generated
All referenced JSON manifests exist.,PASS,Leakage_Control_Audit.csv;Test_Sanctity_Verification_Summary.csv,ok,all referenced JSON manifest files exist
Core manifest run_id values are consistent.,PASS,02/04/05/06/07/09_Run_Manifest.json,"{'02_Run_Manifest.json': '20260428_124049_42', '04_Run_Manifest.json': '20260428_124049_42', '05_Run_Manifest.json': '20260428_124049_42', '06_Run_Manifest.json': '20260428_124049_42', '07_Run_Manifest.json': '20260428_124049_42', '09_Run_Manifest.json': '20260428_124049_42'}",all core manifests have identical run_id
Triplet manuscript-ready package files exist.,PASS,10_Triplet_Extension_Manifest.json;Triplet_BootstrapRuleStability.csv;Triplet_ThresholdSensitivity.csv;Triplet_Rule_Evidence_Tiers.csv;Main_Text_Triplet_Rule_Table.csv;Triplet_Governance_Scene_Map.csv;Triplet_Interpretation_Check.csv,ok,triplet_manuscript_ready true requires all triplet manuscript files
Every FINAL_PACKAGE_FILES entry is included in new_test.zip.,PASS,new_test.zip,"{'missing': 'ok', 'expected_n': 61, 'zip_n': 61}",FINAL_PACKAGE_FILES
Every 10_Triplet_Extension_Manifest output is included in new_test.zip.,PASS,new_test.zip,"{'missing': 'ok', 'expected_n': 9, 'zip_n': 61}",10_Triplet_Extension_Manifest.json outputs
Every 07_Run_Manifest output is included in new_test.zip.,PASS,new_test.zip,"{'missing': 'ok', 'expected_n': 9, 'zip_n': 61}",07_Run_Manifest.json outputs
